mechanism,player,org,pos,tier,age,il,appearances,rate_per_app,expected_rate,w,pm_before,pm_after,dollar_before,dollar_after,dollar_delta
IL unparked,Luis Rengifo,FA (was Balking Dead),3B,T1,29,IL-60,95,5.26,4.73,0.579,1.0,1.059,1.2,1.2,0.0
IL unparked,Justin Slaten,FA (was High Cheddar),RP,T2,28,IL-15,36,8.83,7.87,0.537,1.0,1.059,0.89,0.89,0.0
IL unparked,Byron Buxton,FA,CF,T1,32,IL-10,93,8.19,7.31,0.574,1.0,1.063,1.95,1.95,0.0
re-priced down,Cristian Javier,FA (HOU),SP,T2,29,ACTIVE,14,17.29,41.64,0.483,1.0,0.746,2.05,1.44,-0.61
re-priced down,Tyler Wells,FA (BAL),SP,T2,31,ACTIVE,55,13.49,19.7,0.786,1.264,0.777,1.34,0.78,-0.56
re-priced down,Jose Suarez,FA,SP,T1,28,ACTIVE,45,6.89,20.27,0.75,1.0,0.554,1.17,0.61,-0.56
re-priced down,Chad Patrick,FA (MIL),SP,T1,27,ACTIVE,49,15.24,25.33,0.766,1.011,0.726,1.6,1.08,-0.52
re-priced down,Hunter Goodman,Dirty Spikes,C,T1,26,ACTIVE,123,7.12,9.63,0.695,1.0,0.837,2.25,1.78,-0.47
re-priced down,Tony Santillan,FA (CIN),RP,T1,29,ACTIVE,40,5.38,11.75,0.563,1.0,0.725,1.43,0.98,-0.45
re-priced down,James Outman,FA,CF,T2,29,ACTIVE,71,2.27,5.13,0.507,1.0,0.745,1.49,1.05,-0.44
re-priced down,Bailey Falter,FA,SP,T1,29,ACTIVE,5,-11.4,19.27,0.25,1.0,0.642,1.11,0.67,-0.44
re-priced down,Luis Gil,FA (NYY),SP,T1,28,ACTIVE,5,11.6,35.67,0.25,1.0,0.848,2.11,1.68,-0.43
re-priced down,Yordan Alvarez,High Cheddar,LF,T2,29,ACTIVE,142,10.15,8.01,0.673,1.293,1.163,2.73,2.31,-0.42
re-priced down,Juan Soto,River Cats,RF,T1,27,ACTIVE,92,9.1,10.76,0.571,1.0,0.921,3.07,2.66,-0.41
re-priced down,Shohei Ohtani,Kansas Sunflower Seeds,DH,T1,31,DTD,129,15.58,11.49,0.652,1.258,1.209,4.21,3.81,-0.4
re-priced down,Ben Rice,C-Town Liquors,DH,T1,27,ACTIVE,137,8.93,6.11,0.665,1.427,1.277,2.59,2.19,-0.4
re-priced down,Wilyer Abreu,Kansas Sunflower Seeds,RF,T1,27,ACTIVE,140,7.33,4.93,0.67,1.478,1.294,2.17,1.79,-0.38
re-priced down,Ryan McMahon,FA (NYY),3B,T1,31,ACTIVE,104,3.02,5.1,0.601,1.0,0.779,1.45,1.07,-0.38
re-priced down,Will Smith,Balking Dead,C,T1,31,ACTIVE,58,5.64,8.44,0.518,1.0,0.845,1.79,1.42,-0.37
re-priced down,Shane Smith,FA (CHW),SP,T3,26,ACTIVE,3,1.67,29.96,0.167,1.0,0.858,1.96,1.59,-0.37
re-priced down,Otto Lopez,Dirty Spikes,SS,T1,27,ACTIVE,140,8.24,6.38,0.67,1.296,1.175,2.46,2.1,-0.36
re-priced down,Lenyn Sosa,FA (TOR),2B,T1,26,ACTIVE,39,3.41,6.43,0.361,1.0,0.847,1.81,1.45,-0.36
re-priced down,Christopher Morel,FA (MIA),LF,T1,27,ACTIVE,30,0.8,4.59,0.303,1.0,0.775,1.34,0.98,-0.36
re-priced down,Sal Frelick,MidwestBears,RF,T1,26,ACTIVE,97,5.33,6.98,0.584,1.0,0.876,2.03,1.68,-0.35
re-priced down,Luis Medina,FA (ATH),SP,T1,27,ACTIVE,49,11.41,16.21,0.766,1.165,0.796,0.99,0.64,-0.35
re-priced down,Taijuan Walker,FA (LAA),SP,T2,33,ACTIVE,5,1.0,24.15,0.25,1.0,0.784,1.35,1.0,-0.35
re-priced down,Rafael Devers,MidwestBears,DH,T1,29,ACTIVE,144,8.65,7.63,0.676,1.182,1.082,2.51,2.17,-0.34
re-priced down,Yusei Kikuchi,FA (LAA),SP,T1,35,ACTIVE,10,27.0,38.58,0.4,1.0,0.892,2.05,1.72,-0.33
re-priced down,Mason Fluharty,FA (TOR),RP,T3,24,ACTIVE,75,7.32,6.39,0.708,1.388,1.092,1.28,0.95,-0.33
re-priced down,Jesus Luzardo,KC Gray Hotdogs,SP,T1,28,ACTIVE,28,57.04,44.12,0.651,1.218,1.172,3.35,3.04,-0.31
re-priced down,Drew Rasmussen,MidwestBears,SP,T1,31,ACTIVE,27,50.11,31.55,0.643,1.425,1.341,2.72,2.41,-0.31
re-priced down,Aaron Ashby,Dirty Spikes,RP,T1,28,ACTIVE,67,12.72,10.57,0.684,1.308,1.125,1.61,1.31,-0.3
re-priced down,Luis Arraez,High Cheddar,DH,T1,29,ACTIVE,135,8.36,6.18,0.662,1.309,1.21,2.31,2.01,-0.3
re-priced down,Spencer Arrighetti,FA (was KC Gray Hotdogs),SP,T3,26,ACTIVE,21,27.38,33.51,0.583,1.0,0.904,1.99,1.69,-0.3
re-priced down,Yandy Diaz,MidwestBears,DH,T1,34,ACTIVE,138,8.33,6.67,0.667,1.242,1.15,2.36,2.06,-0.3
re-priced down,Adrian Morejon,Dirty Spikes,RP,T1,27,ACTIVE,66,12.74,10.97,0.68,1.25,1.099,1.73,1.43,-0.3
re-priced down,Jeffrey Springs,FA (ATH),SP,T1,33,ACTIVE,26,19.23,27.52,0.634,1.0,0.828,1.35,1.05,-0.3
re-priced down,Mark Vientos,FA (was High Cheddar),3B,T1,26,ACTIVE,78,4.83,6.31,0.531,1.0,0.888,1.8,1.51,-0.29
re-priced down,Cristopher Sanchez,MidwestBears,SP,T1,29,ACTIVE,29,57.1,50.97,0.659,1.104,1.071,3.4,3.11,-0.29
re-priced down,William Contreras,River Cats,C,T1,28,ACTIVE,132,7.52,10.83,0.71,0.872,0.805,2.21,1.92,-0.29
re-priced down,Dylan Lee,Balking Dead,RP,T1,31,ACTIVE,66,11.77,9.75,0.68,1.295,1.127,1.57,1.29,-0.28
re-priced down,Randy Arozarena,Dirty Spikes,LF,T1,31,ACTIVE,136,8.07,6.3,0.663,1.253,1.168,2.25,1.98,-0.27
re-priced down,Travis d'Arnaud,FA,C,T2,37,ACTIVE,27,1.48,5.44,0.333,1.0,0.782,1.01,0.74,-0.27
re-priced down,Yariel Rodriguez,FA,RP,T1,28,DTD,10,0.2,8.37,0.244,1.0,0.786,1.05,0.78,-0.27
re-priced down,Michael Busch,Balking Dead,1B,T1,28,ACTIVE,142,7.6,7.13,0.673,1.102,1.04,2.34,2.08,-0.26
re-priced down,Matt Olson,Dirty Spikes,1B,T1,32,ACTIVE,143,9.24,9.5,0.675,1.022,0.984,2.77,2.51,-0.26
re-priced down,Pete Alonso,MidwestBears,1B,T1,31,ACTIVE,144,9.14,9.62,0.676,1.006,0.97,2.82,2.56,-0.26
re-priced down,Jonathan Aranda,KC Gray Hotdogs,1B,T1,28,ACTIVE,139,7.76,4.69,0.668,1.5,1.393,2.09,1.83,-0.26
re-priced down,Jake McCarthy,KC Gray Hotdogs,LF,T2,28,ACTIVE,127,8.28,5.19,0.648,1.44,1.346,2.22,1.96,-0.26
re-priced down,Josh Smith,FA (was Balking Dead),SS,T1,28,ACTIVE,61,3.97,5.28,0.469,1.0,0.895,1.54,1.3,-0.24
re-priced down,Riley Greene,Dirty Spikes,LF,T3,25,ACTIVE,122,6.8,7.49,0.639,1.0,0.947,2.29,2.05,-0.24
re-priced down,Drake Baldwin,KC Gray Hotdogs,C,T3,25,ACTIVE,120,7.66,8.78,0.69,0.982,0.921,2.07,1.83,-0.24
re-priced down,Cade Smith,KC Gray Hotdogs,RP,T3,26,ACTIVE,60,17.53,14.59,0.659,1.181,1.12,2.28,2.04,-0.24
re-priced down,Mason Miller,River Cats,RP,T1,27,ACTIVE,57,21.09,15.16,0.648,1.289,1.228,2.33,2.09,-0.24
re-priced down,Braydon Fisher,FA (TOR),RP,T3,25,ACTIVE,69,8.12,7.51,0.69,1.217,1.05,1.27,1.03,-0.24
re-priced down,Alex Bregman,Dirty Spikes,3B,T2,32,ACTIVE,141,8.43,7.97,0.671,1.087,1.035,2.25,2.02,-0.23
re-priced down,Dylan Cease,River Cats,SP,T1,30,ACTIVE,26,65.81,43.45,0.634,1.316,1.294,3.19,2.96,-0.23
re-priced down,Michael Harris II,Kansas Sunflower Seeds,CF,T3,25,ACTIVE,137,7.39,6.38,0.665,1.149,1.094,2.17,1.95,-0.22
re-priced down,Abner Uribe,C-Town Liquors,RP,T3,26,ACTIVE,52,11.62,13.61,0.627,1.0,0.917,1.66,1.44,-0.22
re-priced down,Danny Jansen,FA (TEX),C,T1,31,ACTIVE,52,2.81,4.64,0.491,1.0,0.825,0.98,0.76,-0.22
re-priced down,Brendon Little,FA (TOR),RP,T1,29,ACTIVE,24,5.25,8.79,0.436,1.0,0.842,1.09,0.87,-0.22
re-priced down,Chandler Simpson,Kansas Sunflower Seeds,CF,T3,25,ACTIVE,133,5.95,4.46,0.658,1.276,1.199,1.78,1.57,-0.21
re-priced down,Kevin Kelly,River Cats,RP,T1,28,ACTIVE,63,11.16,9.0,0.67,1.271,1.145,1.41,1.2,-0.21
re-priced down,Ha-Seong Kim,FA (ATL),SS,T2,30,ACTIVE,35,1.6,3.86,0.337,1.0,0.823,0.94,0.73,-0.21
re-priced down,Brandon Marsh,Kansas Sunflower Seeds,LF,T1,28,ACTIVE,135,5.76,4.36,0.662,1.279,1.19,1.63,1.43,-0.2
re-priced down,Manny Machado,Kansas Sunflower Seeds,3B,T1,33,ACTIVE,139,6.88,6.14,0.668,1.131,1.073,1.93,1.73,-0.2
re-priced down,Brock Burke,Kansas Sunflower Seeds,RP,T2,29,ACTIVE,71,8.93,10.03,0.696,1.048,0.931,1.24,1.04,-0.2
re-priced down,Sean Murphy,Dirty Spikes,C,T2,31,ACTIVE,20,3.9,6.63,0.27,1.0,0.9,1.26,1.07,-0.19
re-priced down,Michael Wacha,Kansas Sunflower Seeds,SP,T2,34,ACTIVE,28,41.43,29.88,0.651,1.299,1.227,1.76,1.57,-0.19
re-priced down,Michael McGreevy,FA (was Kansas Sunflower Seeds),SP,T3,25,ACTIVE,27,27.67,16.21,0.643,1.5,1.409,1.67,1.48,-0.19
re-priced down,Juan Mejia,FA (COL),RP,T3,25,ACTIVE,57,5.77,7.69,0.648,1.0,0.855,0.97,0.78,-0.19
re-priced down,Connor Joe,FA,RF,T2,33,ACTIVE,18,1.22,3.86,0.207,1.0,0.873,1.1,0.91,-0.19
re-priced down,Sonny Gray,Balking Dead,SP,T1,36,ACTIVE,26,44.81,25.94,0.634,1.488,1.415,1.77,1.59,-0.18
re-priced down,Nico Hoerner,Dirty Spikes,2B,T1,29,ACTIVE,141,7.52,7.61,0.671,1.022,0.993,2.26,2.08,-0.18
re-priced down,Brandon Lowe,KC Gray Hotdogs,2B,T1,31,ACTIVE,134,8.21,6.67,0.66,1.192,1.137,1.88,1.7,-0.18
re-priced down,Jared Koenig,MidwestBears,RP,T1,32,ACTIVE,9,1.0,7.01,0.225,1.0,0.826,0.82,0.64,-0.18
re-priced down,MacKenzie Gore,Kansas Sunflower Seeds,SP,T1,27,ACTIVE,30,35.97,35.67,0.667,1.034,1.005,2.2,2.02,-0.18
re-priced down,Lourdes Gurriel Jr.,FA (ARI),LF,T1,32,ACTIVE,47,4.43,5.57,0.405,1.0,0.925,1.42,1.24,-0.18
re-priced down,George Soriano,Kansas Sunflower Seeds,RP,T1,27,ACTIVE,64,8.06,5.37,0.674,1.5,1.304,1.01,0.83,-0.18
re-priced down,Landen Roupp,FA,SP,T1,27,ACTIVE,27,32.89,18.67,0.643,1.5,1.441,1.75,1.58,-0.17
re-priced down,Tanner Scott,High Cheddar,RP,T2,31,ACTIVE,62,12.74,11.65,0.667,1.117,1.056,1.58,1.41,-0.17
re-priced down,Fernando Tatis Jr.,River Cats,RF,T1,27,ACTIVE,141,7.81,8.1,0.671,0.999,0.978,2.16,1.99,-0.17
re-priced down,Dustin May,Dirty Spikes,SP,T1,28,ACTIVE,27,29.93,19.88,0.643,1.355,1.292,1.68,1.51,-0.17
re-priced down,Colton Gordon,FA,SP,T1,27,ACTIVE,4,2.75,13.64,0.211,1.0,0.849,0.85,0.68,-0.17
re-priced down,Tyler Rogers,Balking Dead,RP,T1,35,ACTIVE,66,8.09,7.34,0.68,1.191,1.063,1.02,0.86,-0.16
re-priced down,Max Fried,Dirty Spikes,SP,T1,32,ACTIVE,17,43.18,44.06,0.531,1.0,0.99,2.51,2.35,-0.16
re-priced down,Christian Walker,KC Gray Hotdogs,1B,T1,35,ACTIVE,138,7.54,7.16,0.667,1.061,1.031,2.02,1.86,-0.16
re-priced down,Jacob Webb,Kansas Sunflower Seeds,RP,T1,32,ACTIVE,61,9.62,7.4,0.663,1.29,1.18,1.15,0.99,-0.16
re-priced down,Jose Soriano,Kansas Sunflower Seeds,SP,T1,27,ACTIVE,28,38.54,33.03,0.651,1.109,1.098,2.28,2.13,-0.15
re-priced down,Tyler Alexander,FA (TEX),RP,T2,31,ACTIVE,65,7.91,6.97,0.677,1.205,1.082,0.97,0.82,-0.15
re-priced down,Slade Cecconi,FA (CLE),SP,T1,27,ACTIVE,24,21.38,23.42,0.615,1.0,0.952,1.43,1.28,-0.15
re-priced down,Hoby Milner,FA (CHC),RP,T1,35,ACTIVE,40,4.58,6.63,0.563,1.0,0.843,0.73,0.58,-0.15
re-priced down,Brennan Bernardino,FA,RP,T1,34,ACTIVE,67,6.36,5.09,0.684,1.356,1.154,0.79,0.64,-0.15
re-priced down,Ian Happ,MidwestBears,LF,T1,31,DTD,138,6.29,6.18,0.667,1.029,1.01,1.81,1.68,-0.13
re-priced down,Carlos Carrasco,FA,SP,T2,39,ACTIVE,8,3.25,11.79,0.348,1.0,0.773,0.49,0.36,-0.13
re-priced down,Tristan Beck,FA,RP,T1,30,ACTIVE,11,2.36,6.07,0.262,1.0,0.856,0.71,0.58,-0.13
re-priced down,Jeff McNeil,MidwestBears,2B,T2,34,ACTIVE,127,6.2,4.46,0.648,1.27,1.228,1.47,1.35,-0.12
re-priced down,Trea Turner,Balking Dead,SS,T1,33,ACTIVE,138,6.59,6.83,0.667,0.982,0.979,1.83,1.72,-0.11
re-priced down,J.P. Crawford,MidwestBears,SS,T1,31,ACTIVE,98,5.72,5.89,0.587,1.0,0.985,1.53,1.42,-0.11
re-priced down,Trevor Megill,River Cats,RP,T1,32,ACTIVE,55,14.73,10.75,0.64,1.23,1.213,1.59,1.48,-0.11
re-priced down,Jo Adell,C-Town Liquors,CF,T1,27,ACTIVE,141,5.75,6.23,0.671,0.962,0.953,1.78,1.67,-0.11
re-priced down,Matt Festa,FA (CLE),RP,T1,33,ACTIVE,61,7.89,6.6,0.663,1.192,1.116,0.95,0.84,-0.11
re-priced down,Randy Vasquez,FA,SP,T1,27,ACTIVE,27,22.85,17.03,0.643,1.219,1.198,1.27,1.17,-0.1
re-priced down,David Bednar,MidwestBears,RP,T1,31,ACTIVE,57,15.14,12.79,0.648,1.112,1.107,1.73,1.63,-0.1
re-priced down,Brandon Nimmo,MidwestBears,LF,T1,33,ACTIVE,138,5.64,5.8,0.667,0.99,0.984,1.6,1.5,-0.1
re-priced down,Bryan Hudson,FA (CHW),RP,T2,29,ACTIVE,62,8.82,8.44,0.667,1.072,1.027,1.1,1.0,-0.1
re-priced down,Enyel De Los Santos,FA,RP,T2,30,ACTIVE,62,8.32,8.16,0.667,1.049,1.012,1.04,0.95,-0.09
re-priced down,Jeff Hoffman,River Cats,RP,T1,33,ACTIVE,63,10.97,12.31,0.67,0.942,0.934,1.4,1.31,-0.09
re-priced down,Grant Holmes,FA (ATL),SP,T1,30,ACTIVE,27,28.52,22.64,0.643,1.151,1.15,1.57,1.48,-0.09
re-priced down,Kevin Ginkel,Kansas Sunflower Seeds,RP,T2,32,ACTIVE,65,8.11,9.12,0.677,0.967,0.932,0.98,0.89,-0.09
re-priced down,Paul Blackburn,KC Gray Hotdogs,RP,T2,32,ACTIVE,55,11.93,6.76,0.64,1.5,1.439,0.98,0.89,-0.09
re-priced down,Eduard Bazardo,Kansas Sunflower Seeds,RP,T1,30,ACTIVE,66,8.44,10.65,0.68,0.884,0.873,1.17,1.09,-0.08
re-priced down,Jason Alexander,FA,SP,T1,33,ACTIVE,4,8.25,12.06,0.211,1.0,0.94,0.7,0.62,-0.08
re-priced down,Calvin Faucher,FA (was MidwestBears),RP,T1,30,ACTIVE,61,8.43,8.46,0.663,1.011,0.998,1.06,0.99,-0.07
re-priced down,Ramon Urias,FA,3B,T1,32,ACTIVE,33,4.09,4.23,0.324,1.0,0.99,1.14,1.07,-0.07
re-priced down,Beau Brieske,FA,RP,T1,28,ACTIVE,11,6.45,6.85,0.262,1.0,0.986,0.8,0.74,-0.06
re-priced down,Seranthony Dominguez,FA (was Dirty Spikes),RP,T1,31,ACTIVE,59,8.51,8.0,0.656,1.041,1.038,0.83,0.78,-0.05
re-priced down,Caleb Thielbar,FA (CHC),RP,T2,39,ACTIVE,52,7.52,4.76,0.627,1.331,1.326,0.65,0.61,-0.04
re-priced up,Bryce Miller,KC Gray Hotdogs,SP,T1,27,ACTIVE,18,37.61,43.52,0.545,0.581,0.933,1.48,2.24,0.76
re-priced up,Thomas Saggese,FA (STL),2B,T3,24,ACTIVE,37,6.05,3.68,0.349,0.503,1.202,0.61,1.37,0.76
re-priced up,Dean Kremer,FA (BAL),SP,T1,30,ACTIVE,13,28.31,28.09,0.464,0.505,1.003,0.82,1.53,0.71
re-priced up,Jared Jones,C-Town Liquors,SP,T3,24,ACTIVE,17,34.88,33.96,0.531,0.64,1.013,1.31,1.96,0.65
re-priced up,Hayden Wesneski,Dirty Spikes,SP,T1,28,ACTIVE,7,40.43,15.36,0.318,0.67,1.467,0.56,1.16,0.6
re-priced up,Tommy Edman,High Cheddar,2B,T2,31,ACTIVE,65,7.34,5.89,0.485,0.636,1.107,0.91,1.49,0.58
re-priced up,Wyatt Langford,C-Town Liquors,LF,T3,24,ACTIVE,92,7.1,7.95,0.571,0.644,0.945,1.5,2.08,0.58
re-priced up,Matthew Boyd,FA (CHC),SP,T1,35,ACTIVE,18,33.56,36.7,0.545,0.608,0.958,1.2,1.78,0.58
re-priced up,Albert Suarez,FA,RP,T1,28,ACTIVE,27,11.74,11.12,0.466,0.527,1.023,0.68,1.25,0.57
re-priced up,Alejandro Kirk,FA (was Kansas Sunflower Seeds),C,T1,27,ACTIVE,65,6.09,8.32,0.546,0.501,0.868,0.88,1.44,0.56
re-priced up,Gleyber Torres,Kansas Sunflower Seeds,2B,T1,29,ACTIVE,84,7.87,7.77,0.549,0.663,1.006,1.31,1.87,0.56
re-priced up,Clay Holmes,FA (NYM),SP,T1,33,ACTIVE,15,36.27,27.85,0.5,0.703,1.136,1.08,1.64,0.56
re-priced up,Tarik Skubal,KC Gray Hotdogs,SP,T1,29,ACTIVE,22,57.36,58.67,0.595,0.765,0.988,2.5,3.05,0.55
re-priced up,Corey Seager,Kansas Sunflower Seeds,SS,T2,32,ACTIVE,83,7.01,7.29,0.546,0.629,0.982,1.11,1.63,0.52
re-priced up,Yainer Diaz,High Cheddar,C,T1,27,ACTIVE,77,5.58,8.91,0.588,0.507,0.803,1.03,1.54,0.51
re-priced up,Brad Lord,FA (was KC Gray Hotdogs),RP,T3,26,ACTIVE,35,15.74,13.05,0.53,0.733,1.099,1.24,1.75,0.51
re-priced up,Ryan Fernandez,FA (STL),RP,T1,28,ACTIVE,17,11.47,6.69,0.354,0.537,1.228,0.44,0.95,0.51
re-priced up,Jake Irvin,FA (WSH),SP,T2,29,ACTIVE,18,25.78,29.55,0.545,0.586,0.937,0.99,1.49,0.5
re-priced up,Lars Nootbaar,Balking Dead,LF,T1,28,ACTIVE,73,5.33,5.05,0.514,0.61,1.025,0.81,1.29,0.48
re-priced up,Bailey Ober,MidwestBears,SP,T2,30,ACTIVE,22,28.36,39.3,0.595,0.591,0.851,1.34,1.82,0.48
re-priced up,Christian Encarnacion-Strand,FA,1B,T1,26,ACTIVE,42,6.07,2.76,0.378,0.712,1.409,0.54,1.01,0.47
re-priced up,Francisco Lindor,Kansas Sunflower Seeds,SS,T1,32,ACTIVE,85,7.53,6.47,0.552,0.754,1.081,1.3,1.76,0.46
re-priced up,Jake Cronenworth,FA (SD),2B,T2,32,ACTIVE,90,4.91,6.36,0.566,0.56,0.884,0.95,1.41,0.46
re-priced up,Steven Matz,FA,RP,T2,35,ACTIVE,29,10.97,10.99,0.483,0.534,0.999,0.58,1.02,0.44
re-priced up,Mookie Betts,High Cheddar,SS,T1,33,ACTIVE,106,8.14,9.4,0.606,0.708,0.927,1.81,2.24,0.43
re-priced up,Oneil Cruz,KC Gray Hotdogs,CF,T1,27,ACTIVE,80,8.38,5.67,0.537,0.882,1.231,1.38,1.81,0.43
re-priced up,Nicky Lopez,FA,3B,T2,31,ACTIVE,80,4.06,4.69,0.537,0.558,0.935,0.75,1.18,0.43
re-priced up,Gerrit Cole,Dirty Spikes,SP,T1,35,ACTIVE,19,45.84,39.73,0.559,0.778,1.077,1.35,1.77,0.42
re-priced up,Vinnie Pasquantino,C-Town Liquors,1B,T1,28,ACTIVE,97,8.24,7.77,0.584,0.78,1.031,1.73,2.15,0.42
re-priced up,Adley Rutschman,C-Town Liquors,C,T2,28,ACTIVE,85,6.8,10.25,0.612,0.575,0.815,1.23,1.65,0.42
re-priced up,Brayan Bello,FA (BOS),SP,T1,27,ACTIVE,22,18.73,30.06,0.595,0.524,0.798,0.96,1.38,0.42
re-priced up,Jordan Romano,FA,RP,T2,33,ACTIVE,32,9.5,10.49,0.508,0.534,0.957,0.59,1.0,0.41
re-priced up,Carmen Mlodzinski,Balking Dead,RP,T3,27,ACTIVE,32,20.56,10.18,0.508,1.069,1.466,1.37,1.77,0.4
re-priced up,Logan Webb,Kansas Sunflower Seeds,SP,T1,29,ACTIVE,25,35.08,48.3,0.625,0.661,0.846,1.89,2.28,0.39
re-priced up,Luis Castillo,FA (SEA),SP,T1,33,ACTIVE,26,22.27,41.67,0.634,0.529,0.734,1.26,1.65,0.39
re-priced up,Heliot Ramos,Kansas Sunflower Seeds,LF,T1,26,ACTIVE,98,4.68,5.82,0.587,0.622,0.897,1.05,1.43,0.38
re-priced up,Griffin Jax,MidwestBears,RP,T1,31,ACTIVE,30,22.7,13.5,0.492,1.0,1.302,1.64,2.02,0.38
re-priced up,Edmundo Sosa,FA (PHI),2B,T1,30,ACTIVE,74,5.19,3.74,0.517,0.78,1.18,0.85,1.21,0.36
re-priced up,Esteury Ruiz,FA (MIA),LF,T1,27,ACTIVE,85,3.95,4.39,0.552,0.607,0.951,0.73,1.09,0.36
re-priced up,Kyle Manzardo,FA (was Balking Dead),DH,T3,25,ACTIVE,102,4.95,5.79,0.596,0.678,0.922,1.22,1.57,0.35
re-priced up,James McCann,FA,C,T2,36,ACTIVE,42,5.24,3.59,0.438,0.616,1.181,0.42,0.76,0.34
re-priced up,Jackson Chourio,River Cats,CF,T3,22,ACTIVE,109,8.46,8.17,0.612,0.848,1.02,2.42,2.75,0.33
re-priced up,Paul Goldschmidt,FA (was KC Gray Hotdogs),1B,T2,38,ACTIVE,98,6.87,6.39,0.587,0.797,1.039,1.34,1.65,0.31
re-priced up,Alex Call,FA (LAD),RF,T1,31,ACTIVE,71,3.79,3.06,0.507,0.682,1.108,0.6,0.91,0.31
re-priced up,Nick Allen,FA,SS,T1,27,ACTIVE,58,3.9,2.33,0.457,0.742,1.276,0.49,0.8,0.31
re-priced up,Jesus Sanchez,Dirty Spikes,RF,T1,28,ACTIVE,96,3.83,4.51,0.582,0.641,0.922,0.82,1.12,0.3
re-priced up,Bryan Woo,KC Gray Hotdogs,SP,T3,26,ACTIVE,27,43.85,58.22,0.643,0.728,0.857,2.78,3.08,0.3
re-priced up,Andrew Vaughn,FA (was KC Gray Hotdogs),1B,T2,28,ACTIVE,96,6.2,5.46,0.582,0.821,1.071,1.31,1.61,0.3
re-priced up,Daniel Schneemann,FA,2B,T1,28,ACTIVE,87,3.68,3.73,0.558,0.669,0.993,0.74,1.04,0.3
re-priced up,Zach McKinstry,FA (DET),3B,T1,31,ACTIVE,113,4.23,6.39,0.621,0.596,0.811,1.09,1.39,0.3
re-priced up,Zack Littell,FA (WSH),SP,T1,30,ACTIVE,26,16.77,30.91,0.634,0.536,0.739,1.0,1.3,0.3
re-priced up,Brandon Eisert,FA,RP,T1,28,ACTIVE,34,6.94,7.01,0.523,0.604,0.995,0.53,0.83,0.3
re-priced up,Jose Ramirez,High Cheddar,3B,T1,33,ACTIVE,108,7.75,8.02,0.61,0.791,0.982,1.73,2.02,0.29
re-priced up,Edouard Julien,FA (COL),1B,T1,27,ACTIVE,87,4.22,3.86,0.558,0.73,1.047,0.84,1.13,0.29
re-priced up,Brandon Pfaadt,KC Gray Hotdogs,SP,T1,27,ACTIVE,26,25.85,37.52,0.634,0.653,0.822,1.53,1.82,0.29
re-priced up,Nate Pearson,FA,RP,T2,29,ACTIVE,33,9.52,7.26,0.516,0.749,1.144,0.66,0.95,0.29
re-priced up,Marcell Ozuna,FA (PIT),DH,T2,35,ACTIVE,69,3.96,3.01,0.5,0.699,1.141,0.54,0.82,0.28
re-priced up,Ryan Feltner,FA (COL),SP,T2,29,ACTIVE,22,17.05,23.73,0.595,0.589,0.849,0.78,1.06,0.28
re-priced up,Caleb Ferguson,FA,RP,T1,29,ACTIVE,35,5.66,7.0,0.53,0.524,0.908,0.45,0.73,0.28
re-priced up,Tyler Glasnow,Balking Dead,SP,T2,32,ACTIVE,10,56.8,34.94,0.4,1.0,1.225,1.69,1.96,0.27
re-priced up,Jorge Mateo,FA (ATL),SS,T2,31,ACTIVE,76,4.33,3.34,0.524,0.753,1.14,0.64,0.91,0.27
re-priced up,Jonah Heim,FA,C,T2,31,ACTIVE,92,5.05,7.77,0.63,0.605,0.802,1.08,1.35,0.27
re-priced up,Freddy Peralta,Balking Dead,SP,T1,30,ACTIVE,28,29.96,46.88,0.651,0.653,0.789,1.85,2.11,0.26
re-priced up,Jeremy Pena,Dirty Spikes,SS,T1,28,ACTIVE,93,8.63,5.81,0.574,1.015,1.251,1.61,1.87,0.26
re-priced up,Casey Mize,KC Gray Hotdogs,SP,T1,29,ACTIVE,22,34.09,30.52,0.595,0.86,1.063,1.51,1.77,0.26
re-priced up,Vladimir Guerrero Jr.,C-Town Liquors,1B,T1,27,ACTIVE,129,7.22,10.55,0.652,0.685,0.815,2.15,2.41,0.26
re-priced up,Jake Bird,FA,RP,T1,30,ACTIVE,44,5.91,8.69,0.587,0.549,0.831,0.59,0.85,0.26
re-priced up,Francisco Alvarez,FA (was Balking Dead),C,T3,24,ACTIVE,99,3.64,7.09,0.647,0.528,0.716,0.88,1.13,0.25
re-priced up,Ryan Yarbrough,FA (NYY),RP,T2,34,ACTIVE,32,10.28,7.1,0.508,0.795,1.205,0.58,0.83,0.25
re-priced up,Josh Hader,High Cheddar,RP,T1,32,ACTIVE,40,18.07,11.85,0.563,1.015,1.266,1.33,1.57,0.24
re-priced up,Marcus Semien,FA (NYM),2B,T2,35,ACTIVE,123,5.32,7.98,0.641,0.643,0.808,1.29,1.53,0.24
re-priced up,Connor Norby,FA (MIA),3B,T1,26,ACTIVE,88,4.31,3.45,0.561,0.827,1.126,0.85,1.09,0.24
re-priced up,Freddy Fermin,FA (SD),C,T1,31,ACTIVE,75,2.85,4.18,0.581,0.53,0.834,0.48,0.72,0.24
re-priced up,Lane Thomas,FA (KC),CF,T2,30,ACTIVE,115,4.47,6.21,0.625,0.648,0.842,1.07,1.31,0.24
re-priced up,A.J. Minter,FA (NYM),RP,T2,32,ACTIVE,38,8.84,9.16,0.551,0.65,0.983,0.57,0.81,0.24
